Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement Rate,Day of the Week,Hour
2023-03-27 17:08:00,CSGO,Twitter,Community Engagement ,727,7,Photo,0.009628610729023384,Monday,17
2023-03-27 16:00:00,General,Instagram,Community Engagement ,4699,0,Photo,0.0,Monday,16
2023-03-27 15:36:00,CSGO,Twitter,Community Engagement ,1128,14,Photo,0.012411347517730497,Monday,15
2023-03-27 14:34:00,CSGO,Twitter,Community Engagement ,1886,24,Photo,0.012725344644750796,Monday,14
2023-03-27 14:31:00,General,Twitter,Community Engagement ,22549,725,Photo,0.03215220187147989,Monday,14
2023-03-27 14:30:00,General,Instagram,Community Engagement ,8380,327,Carousel,0.03902147971360382,Monday,14
2023-03-27 11:23:00,General,Twitter,Community Engagement ,1648,42,Text,0.025485436893203883,Monday,11
2023-03-27 11:02:00,General,Twitter,Community Engagement ,97345,808,Photo,0.008300374955056757,Monday,11
2023-03-27 10:41:00,General,TikTok,N/A ,2595,134,Video,0.05163776493256262,Monday,10
2023-03-27 10:20:00,General,Twitter,Evil Exhibited ,297,12,Text,0.04040404040404041,Monday,10
2023-03-27 10:00:00,General,Twitter,Evil Exhibited ,26952,719,Video,0.02667705550608489,Monday,10
2023-03-27 09:00:00,General,Facebook,Community Engagement ,26354,277,Photo,0.010510738407831828,Monday,9
2023-03-27 08:51:00,DOTA2,Twitter,N/A ,588,42,Photo,0.07142857142857142,Monday,8
2023-03-26 23:16:00,General,Twitter,Evil Exhibited ,114,2,Text,0.017543859649122806,Sunday,23
2023-03-26 23:14:00,General,Twitter,Evil Exhibited ,242,16,Text,0.06611570247933884,Sunday,23
2023-03-26 23:13:00,General,Twitter,Evil Exhibited ,293,5,Text,0.017064846416382253,Sunday,23
2023-03-26 23:09:00,General,Twitter,Evil Exhibited ,209,4,Text,0.019138755980861243,Sunday,23
2023-03-26 23:09:00,General,Twitter,Evil Exhibited ,201,5,Text,0.024875621890547265,Sunday,23
2023-03-26 23:06:00,General,Twitter,Evil Exhibited ,123,4,Text,0.032520325203252036,Sunday,23
2023-03-26 23:01:00,General,Twitter,Evil Exhibited ,100899,464,Photo,0.004598658064004599,Sunday,23
2023-03-26 21:52:00,General,Twitter,Evil Exhibited ,11145,35,Photo,0.0031404217137729925,Sunday,21
2023-03-26 20:53:00,General,Twitter,Evil Exhibited ,19084,91,Photo,0.004768392370572207,Sunday,20
2023-03-26 20:00:00,DOTA2,Twitter,N/A ,10,0,Text,0.0,Sunday,20
2023-03-26 18:01:00,General,Twitter,Evil Exhibited ,56409,206,Photo,0.003651899519580209,Sunday,18
2023-03-26 17:20:00,General,Twitter,Community Engagement ,13601,154,Photo,0.011322696860524962,Sunday,17
2023-03-26 17:18:00,General,Instagram,Community Engagement ,3831,0,Photo,0.0,Sunday,17
2023-03-26 17:14:00,General,Instagram,Community Engagement ,3993,0,Photo,0.0,Sunday,17
2023-03-26 16:53:00,General,Instagram,Community Engagement ,4044,0,Video,0.0,Sunday,16
2023-03-26 16:46:00,DOTA2,Twitter,N/A ,204,6,Text,0.029411764705882353,Sunday,16
2023-03-26 16:44:00,DOTA2,Twitter,N/A ,4921,403,Photo,0.08189392399918716,Sunday,16
2023-03-26 16:42:00,General,Twitter,N/A ,13633,174,Photo,0.012763148243233331,Sunday,16
2023-03-26 16:42:00,DOTA2,Twitter,Community Engagement ,948,24,Photo,0.02531645569620253,Sunday,16
2023-03-26 16:42:00,General,Facebook,Community Engagement ,24893,1610,Photo,0.06467681677580042,Sunday,16
2023-03-26 16:41:00,General,Instagram,Community Engagement ,4233,0,Photo,0.0,Sunday,16
2023-03-26 16:40:00,General,Twitter,Community Engagement ,13080,169,Photo,0.012920489296636086,Sunday,16
2023-03-26 16:35:00,General,Twitter,Community Engagement ,12303,350,Photo,0.028448345931886533,Sunday,16
